GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000012232	291	61	1	68	0	61
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	2585	2415	101	3459	7171	2415
ENSG00000012779	315	198	0	0	0	198
ENSG00000012817	1	1785	0	2032	1	1785
ENSG00000012822	8433	5143	12	6035	11041	5143
ENSG00000012963	281	599	0	253	365	599
ENSG00000012983	92	970	29	529	20	970
ENSG00000013016	0	134	5	0	0	134
ENSG00000013275	1865	1516	776	1053	1940	1516
ENSG00000013288	334	3097	794	1416	45	3097
ENSG00000013293	0	0	0	0	0	0
ENSG00000013297	1	36	0	29	0	36
ENSG00000013306	2581	4372	41	4519	8538	4372
ENSG00000013364	2261	9259	9898	6619	15174	9259
ENSG00000013374	5348	2735	7501	3390	1321	2735
ENSG00000013375	993	1081	0	765	795	1081
ENSG00000013392	788	377	0	417	0	377
ENSG00000013441	11770	5613	2280	9881	7212	5613
ENSG00000013503	469	1269	0	0	0	1269
ENSG00000013523	1664	1231	1	1607	8	1231
ENSG00000013561	933	905	7397	405	0	905
ENSG00000013563	146	38	1	166	0	38
ENSG00000013573	879	263	14	1581	2810	263
ENSG00000013583	31	232	0	324	0	232
ENSG00000013588	0	0	0	0	0	0
ENSG00000013619	0	0	0	346	0	0
ENSG00000013725	21047	22611	18151	16124	6685	22611
ENSG00000013810	5503	3739	317	3830	5162	3739
ENSG00000014123	986	652	1	909	1	652
ENSG00000014138	38	168	0	82	0	168
ENSG00000014164	964	658	0	2725	2105	658
ENSG00000014216	1630	3070	7	1525	2851	3070
ENSG00000014257	0	0	0	0	0	0
ENSG00000014641	4394	4379	840	3832	3679	4379
ENSG00000014824	764	608	0	419	250	608
ENSG00000014914	0	1	0	0	5	1
ENSG00000014919	595	374	0	1517	0	374
ENSG00000015133	2791	1933	1229	3290	2608	1933
ENSG00000015153	371	247	13	691	430	247
ENSG00000015171	819	2728	10	2224	926	2728
ENSG00000015285	2263	830	1	1393	1263	830
ENSG00000015413	0	0	1	0	1	0
ENSG00000015475	433	888	139	1715	14	888
ENSG00000015479	58	60	37	471	624	60
ENSG00000015520	0	0	0	0	0	0
ENSG00000015532	742	614	10	876	526	614
ENSG00000015568	35	2	0	5	0	2
ENSG00000015592	0	0	0	0	0	0
ENSG00000015676	5103	3658	2	3887	439	3658
ENSG00000016082	0	0	0	0	0	0
ENSG00000016391	0	0	0	0	1	0
ENSG00000016402	0	0	0	0	1	0
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0
ENSG00000016864	2398	1088	0	895	2634	1088
ENSG00000017260	1356	1114	4	1096	3356	1114
ENSG00000017427	0	0	0	0	0	0
ENSG00000017483	1	5	2	414	4473	5
ENSG00000017797	1801	2326	2145	1604	1853	2326
ENSG00000018189	107	77	0	267	1	77
ENSG00000018236	0	0	0	0	0	0
ENSG00000018280	549	96	6	49	0	96
ENSG00000018408	0	4	9	102	7	4
ENSG00000018510	477	597	2	687	2303	597
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	1	51	0	92	0	51
ENSG00000018625	0	0	0	0	0	0
ENSG00000018699	644	298	0	292	2	298
ENSG00000018869	0	69	1	13	1998	69
ENSG00000019102	0	0	0	1	0	0
ENSG00000019144	8	115	0	2	8	115
ENSG00000019169	0	0	0	0	0	0
ENSG00000019186	0	0	0	71	0	0
ENSG00000019485	10	0	0	2	8	0
ENSG00000019505	0	0	1	0	0	0
ENSG00000019549	0	0	0	0	0	0
ENSG00000019582	16933	13338	9766	17604	61078	13338
ENSG00000019991	0	0	13	0	0	0
ENSG00000019995	25	1669	31	450	0	1669
ENSG00000020129	2799	3372	36	1659	1893	3372
ENSG00000020181	0	0	0	29	4	0
ENSG00000020219	0	0	0	0	0	0
ENSG00000020256	209	183	1	1	0	183
ENSG00000020426	485	85	0	205	0	85
ENSG00000020577	4	0	2	1	0	0
ENSG00000020633	4472	6993	891	3375	9703	6993
ENSG00000020922	1132	836	203	691	429	836
ENSG00000021300	2439	1730	5156	2394	523	1730
ENSG00000021355	101	2659	8366	2836	5	2659
ENSG00000021461	0	0	0	0	0	0
ENSG00000021488	0	0	0	33	0	0
ENSG00000021574	546	7	0	128	1041	7
ENSG00000021645	0	0	0	0	0	0
ENSG00000021762	1	0	0	471	0	0
ENSG00000021776	580	1299	1	945	1021	1299
ENSG00000021826	0	0	0	0	0	0
ENSG00000021852	0	0	0	0	0	0
ENSG00000022267	9	3	1	802	0	3
ENSG00000022277	3974	2969	1	4025	6284	2969
ENSG00000022355	0	0	0	0	0	0
ENSG00000022556	0	1	0	0	0	1
ENSG00000022567	387	1	0	118	1837	1
ENSG00000022840	5623	4290	31	6403	5649	4290
ENSG00000022976	278	0	1	298	1	0
ENSG00000023041	957	3251	2	2819	2920	3251
ENSG00000023171	0	370	0	181	0	370
ENSG00000023191	8272	5247	3189	4584	5998	5247
ENSG00000023228	888	461	1208	531	265	461
ENSG00000023287	5186	1418	31	2570	1025	1418
ENSG00000023318	2405	4457	5309	2436	2154	4457
ENSG00000023330	1247	171	5261	239	98	171
ENSG00000023445	25045	23483	21756	25498	57445	23483
ENSG00000023516	685	1174	0	704	6	1174
ENSG00000023572	316	489	2086	648	510	489
ENSG00000023608	701	124	0	194	0	124
ENSG00000023697	3	363	0	299	1462	363
ENSG00000023734	4406	4752	10	3833	1966	4752
ENSG00000023839	0	0	9	181	5	0
ENSG00000023892	4145	6355	10621	7655	5036	6355
ENSG00000023902	4182	7202	131	7843	10882	7202
ENSG00000023909	1592	1801	0	636	2	1801
ENSG00000024048	548	1036	647	910	6070	1036
ENSG00000024422	0	0	0	0	0	0
ENSG00000024526	1	0	0	0	0	0
ENSG00000024862	1027	1947	1	850	3099	1947
ENSG00000025039	13	641	0	981	0	641
ENSG00000025156	1630	1361	1	754	1	1361
